Release,Supplier, Review,Tag Number,QTY Released,Unit,Size,Description,Material,Lining,Coating,Release Date,Due Date,Area,System,Contract Dwg,System2,Shop Dwg,Delivered QTY,Need QTY,Received On,Received By,Storage Location,Notes,Estimate Cost,Contract Unit Price,Contract Extended Price,Above/Below,Invoice No.,Invoice Unit Price,Invoice Extended Price,Delta (Invoice-Contract),QTY Invoiced to Date,,
1,KAT,,116.2-12-01,300,LF,"12""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,3/9/2026,BNR 1 - 6,"12"" Drains Header",,Drain,,300, ,5/29/2026,Pablo Chapellin,Pipe Laydown,300 LF del 5/29/26,, $119.67 ," $35,901.00 ",,3979(300),, $-   , $-   ,300,,
1,KAT,,116.2-12-02,13,EA,"12""","12"" MJ WYE",DI,P401,Asphaltic,2/19/2026,3/9/2026,BNR 1 - 6,"12"" Drains Header",,Drain,,13, ,5/22/2026,David Nigro,Pipe Laydown,"8 del 5/4/26
5 del 5/22/26",," $2,144.00 "," $27,872.00 ",,3858(8),, $-   , $-   ,8,,
1,KAT,,116.2-12-03,39,EA,"12""","12"" Megalug w/ Accessory Kit",,,,2/19/2026,3/9/2026,BNR 1 - 6,"12"" Drains Header",,Drain,,39, ,6/1/2026,David Nigro,Pipe Laydown,,, $124.00 ," $4,836.00 ",,3885, $124.00 ," $4,836.00 ", $-   ,,,
,,,,,,,,,,,,3/9/2026,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
5,KAT,hold,104Ua2-30-01,2,EA,"30"" x 11'-06""","CL50 WALL PIPE FLGxWCxPE TFS NPT WC 39"" FROM FLANGE",DI,P401,Asphaltic,5/1/2026,6/19/2026,Clarifier 1 and 2,"30"" ML Below Clarifiers 1/2","60% QAQC - C03-305, M25-102, M25-401",ML,,2, ,6/24/2026,Pablo Chapellin,Pipe Laydown,,," $12,615.62 "," $25,231.24 ",Below,4086(2)," $12,615.62 "," $25,231.24 ", $-   ,2,7/29/2026 (1)  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman),
1,KAT,I got 801,104Ua2-30-02,140,LF,"30""",CL51 DI RJ,DI,P401,Asphaltic,2/19/2026,3/9/2026,BNR 1 and 2 to Clarifier 1 and 2,"30"" ML Between Clarifiers 1/2 and BNR 1/2","60% QAQC - C03-305, M25-102, M25-401",ML,,156,-16,7/2/2026,Pablo Chapellin,Pipe Laydown,"97.21  LF del 6/24/26
58.9 LF del 7/2/26",, $405.62 ," $56,786.80 ",Below,3858(1),, $-   , $-   ,1,6/2/2026 (1) BNR 2 South Side (Staley),
1,KAT,??,104Ua2-30-03,2,EA,"30""","30"" MJ 90 BEND",DI,P401,Asphaltic,2/19/2026,3/9/2026,Clarifier 1 and 2,"30"" ML Below Clarifiers 1/2","60% QAQC - C03-305, M25-102, M25-401",ML,,2, ,5/22/2026,David Nigro,Pipe Laydown,,," $6,730.00 "," $13,460.00 ",Below,3885,, $-   , $-   ,,7/1/2026 (2) Trains 3&4 Mixed Liquor (Gore),
1,KAT,??,104Ua2-30-04,2,EA,"30""","30"" MJ SOLID SLEEVE LONG",DI,P401,Asphaltic,2/19/2026,3/9/2026,BNR 1 and 2 to Clarifier 1 and 2,"30"" ML Between Clarifiers 1/2 and BNR 1/2","60% QAQC - C03-305, M25-102, M25-401",ML,,1,1,,David Nigro,Pipe Laydown,"1 del 5/4/26; 2 del 7/13/26
Price increased to $5,847.66 due to switch from Sigma sleeves to SIP",," $5,028.00 "," $10,056.00 ",Below,,, $-   , $-   ,,,
1,KAT,10,104Ua2-30-05,8,EA,"30""","30"" Megalug w/ Accessory Kit",,,,2/19/2026,3/9/2026,BNR 1 and 2 to Clarifier 1 and 2,"30"" ML Between Clarifiers 1/2 and BNR 1/2","60% QAQC - C03-305, M25-102, M25-401",ML,,8, ,6/12/2026,Chelsea Vohwinkle,Pipe Laydown,,," $1,061.00 "," $8,488.00 ",Below,3885," $1,061.00 "," $8,488.00 ", $-   ,,7/29/2026 (5)  BNR Trains 1 and 2 to Clarifiers 1 and 2 (Staley/Roman),
,,,,,,,,,,,,3/9/2026,,,,,,, ,,,,,,, $-   ,,,, $-   , $-   ,,,
